"name","type","number","percent"
"annotate","BCODE",1124493,61.8348995156007
"annotate","LANG",252769,13.8995491440666
"annotate","LGL",188137,10.3454912482039
"annotate","STR",168751,9.27947184033794
"annotate","SYM",44282,2.43502896002895
"annotate","NIL",14717,0.809275127698523
"annotate","INT",10770,0.592233004369987
"annotate","PROM",7424,0.40823935231595
"annotate","REAL",4710,0.258998834780189
"annotate","CLOS",1169,0.0642823010314312
"annotate","VEC",786,0.0432214616002609
"annotate","ENV",529,0.0290892534179873
"annotate","S4",4,0.000219956547584025
"Biobase","BCODE",506037,59.0543820749212
"Biobase","LGL",106163,12.3891936048547
"Biobase","LANG",105358,12.2952503209243
"Biobase","STR",70272,8.20072353833586
"Biobase","SYM",37170,4.33772902322325
"Biobase","PROM",7771,0.906873614190687
"Biobase","INT",7001,0.817014820865912
"Biobase","NIL",6853,0.799743260590501
"Biobase","REAL",5558,0.648617108180651
"Biobase","VEC",2902,0.338662621075972
"Biobase","CLOS",1181,0.137822383008519
"Biobase","ENV",621,0.0724705333177734
"Biobase","S4",13,0.00151709651067803
"Biostrings","BCODE",810764,62.014505368761
"Biostrings","LANG",181029,13.8467222180578
"Biostrings","LGL",135072,10.3315185049771
"Biostrings","STR",124674,9.53618616804015
"Biostrings","SYM",28847,2.20647739215437
"Biostrings","NIL",11398,0.871821309521806
"Biostrings","INT",7099,0.542995216379655
"Biostrings","PROM",4747,0.363093152860152
"Biostrings","REAL",2122,0.162309599824993
"Biostrings","CLOS",951,0.0727410129281661
"Biostrings","VEC",345,0.0263886955417637
"Biostrings","ENV",319,0.0243999822545584
"Biostrings","S4",11,0.000841378698433047
"caschrono","BCODE",546978,62.736979259261
"caschrono","LANG",125165,14.3561057464567
"caschrono","LGL",87730,10.0624068800116
"caschrono","STR",72567,8.32324951626352
"caschrono","SYM",16204,1.85855740435093
"caschrono","NIL",7245,0.83098299151583
"caschrono","REAL",5968,0.684514353811798
"caschrono","PROM",4652,0.533572515739357
"caschrono","INT",4204,0.482188060225335
"caschrono","VEC",626,0.0718006007852187
"caschrono","CLOS",426,0.0488611117164587
"caschrono","ENV",94,0.0107815598623172
"colorspace","BCODE",1047358,61.5735090429797
"colorspace","STR",179293,10.54052115594
"colorspace","LANG",158102,9.29471577694846
"colorspace","LGL",154652,9.09189247660771
"colorspace","SYM",108153,6.35824591355142
"colorspace","PROM",13560,0.797183754382747
"colorspace","REAL",13080,0.768964860422296
"colorspace","INT",12401,0.729046883340741
"colorspace","NIL",10356,0.608822637196735
"colorspace","VEC",2662,0.156497282755669
"colorspace","ENV",1215,0.0714290753373922
"colorspace","CLOS",156,0.00917114053714665
"copula","BCODE",907719,58.9845026775428
"copula","LANG",231285,15.0291342384322
"copula","LGL",140343,9.11963069989103
"copula","STR",92733,6.02588453783227
"copula","INT",59318,3.85454389500108
"copula","REAL",54385,3.53399254407825
"copula","NIL",35245,2.29025590173831
"copula","SYM",12285,0.798291779056749
"copula","PROM",4795,0.311583970742947
"copula","CLOS",493,0.0320356407875439
"copula","VEC",205,0.0133211082382282
"copula","ENV",105,0.00682300665860469
"dplyr","BCODE",532897,45.727865752047
"dplyr","SYM",188084,16.1394789276502
"dplyr","LANG",150921,12.9505236981343
"dplyr","LGL",98381,8.44206884360793
"dplyr","NIL",55658,4.77601028346459
"dplyr","STR",46604,3.99908698211549
"dplyr","REAL",27678,2.37504783904799
"dplyr","INT",26922,2.3101755156749
"dplyr","CLOS",15403,1.32173068375086
"dplyr","PROM",14060,1.20648791881692
"dplyr","ENV",7819,0.670948011182753
"dplyr","VEC",939,0.0805755445070476
"ggplot2","BCODE",132825,49.9417205594826
"ggplot2","LGL",31786,11.9514212663558
"ggplot2","SYM",29943,11.2584599187848
"ggplot2","LANG",29056,10.9249511204692
"ggplot2","STR",28804,10.8302000300797
"ggplot2","NIL",4225,1.5885847495864
"ggplot2","PROM",3554,1.33629117160475
"ggplot2","INT",2550,0.958790795608362
"ggplot2","REAL",2376,0.893367423672733
"ggplot2","VEC",798,0.300045119566852
"ggplot2","ENV",25,0.0093999097608663
"ggplot2","CLOS",18,0.00676793502782373
"grid","BCODE",904921,53.499719175855
"grid","SYM",276485,16.3460344674687
"grid","STR",229228,13.5521593898726
"grid","LGL",109951,6.50039906589021
"grid","LANG",48937,2.8931981436046
"grid","PROM",39745,2.34975908244406
"grid","VEC",38223,2.25977711431021
"grid","NIL",23944,1.41559017411097
"grid","REAL",9996,0.590972242750303
"grid","INT",5447,0.322031393183363
"grid","ENV",4570,0.270182387892045
"grid","CLOS",3,0.00017736261787224
"lmtest","BCODE",72264,57.4508681549323
"lmtest","STR",14099,11.208897793042
"lmtest","LANG",12733,10.1229091140368
"lmtest","LGL",12733,10.1229091140368
"lmtest","SYM",6914,5.49672454366215
"lmtest","NIL",2446,1.94460344717929
"lmtest","INT",1586,1.26089168733702
"lmtest","REAL",1567,1.24578642752655
"lmtest","PROM",1120,0.89041531514342
"lmtest","VEC",320,0.254404375755263
"lmtest","CLOS",2,0.00159002734847039
"mvtnorm","BCODE",132483,58.5679298332479
"mvtnorm","STR",25147,11.1169563756609
"mvtnorm","LGL",23665,10.461795547382
"mvtnorm","LANG",19272,8.51974324061467
"mvtnorm","SYM",16333,7.2204735548443
"mvtnorm","INT",2634,1.16443564216371
"mvtnorm","REAL",2491,1.10121836925961
"mvtnorm","PROM",1912,0.845254725822709
"mvtnorm","NIL",1451,0.641456384502484
"mvtnorm","VEC",808,0.357199695849764
"mvtnorm","CLOS",8,0.00353663065197786
"rivr","BCODE",66496,57.2102107011038
"rivr","STR",17069,14.6854109488863
"rivr","LANG",10598,9.11804940162263
"rivr","LGL",8836,7.60210270926001
"rivr","PROM",2940,2.52944567284115
"rivr","INT",2366,2.0356015176674
"rivr","NIL",2220,1.90998958969638
"rivr","REAL",2016,1.73447703280536
"rivr","SYM",1877,1.61488759453158
"rivr","VEC",1683,1.4479785943509
"rivr","CLOS",78,0.0671077423406836
"rivr","ENV",52,0.0447384948937891
"stringr","BCODE",44396,60.0635865521207
"stringr","LGL",8342,11.2859365487384
"stringr","STR",7941,10.7434214976662
"stringr","LANG",5831,7.88879117905702
"stringr","SYM",5447,7.36927551917743
"stringr","PROM",608,0.82256646147602
"stringr","REAL",510,0.689981735777582
"stringr","INT",498,0.673746871406345
"stringr","NIL",332,0.449164580937563
"stringr","CLOS",5,0.00676452682134885
"stringr","VEC",5,0.00676452682134885
"tm","BCODE",171267,56.9120036685907
"tm","LANG",37717,12.5333546005257
"tm","LGL",30430,10.1118853698332
"tm","STR",27282,9.06580534537588
"tm","INT",11097,3.68753177617609
"tm","REAL",8128,2.7009334303649
"tm","SYM",7238,2.40518653653803
"tm","NIL",5221,1.73493767715737
"tm","PROM",1306,0.433983644199872
"tm","VEC",633,0.210345824485849
"tm","CLOS",311,0.103345262899051
"tm","ENV",303,0.100686863853416
